"region","file_name","result"
"asia","aze001.rwl","rwl"
"asia","bgd001.rwl","rwl"
"asia","bgd002.rwl","rwl"
"asia","bgd003.rwl","rwl"
"asia","bgd004.rwl","rwl"
"asia","bgd005.rwl","rwl"
"asia","bt001.rwl","rwl"
"asia","bt002.rwl","rwl"
"asia","bt003.rwl","rwl"
"asia","bt004.rwl","rwl"
"asia","bt005.rwl","rwl"
"asia","bt006.rwl","rwl"
"asia","bt007.rwl","rwl"
"asia","bt008.rwl","rwl"
"asia","bt009.rwl","rwl"
"asia","bt010.rwl","rwl"
"asia","bt011.rwl","rwl"
"asia","bt012.rwl","rwl"
"asia","bt013.rwl","rwl"
"asia","bt014.rwl","rwl"
"asia","bt015.rwl","rwl"
"asia","bt016.rwl","rwl"
"asia","bt017.rwl","rwl"
"asia","bt018.rwl","rwl"
"asia","bt019.rwl","rwl"
"asia","bt020.rwl","rwl"
"asia","bt021.rwl","rwl"
"asia","bt022.rwl","rwl"
"asia","chin004.rwl","rwl"
"asia","chin004e.rwl","rwl"
"asia","chin004l.rwl","rwl"
"asia","chin004n.rwl","rwl"
"asia","chin004x.rwl","rwl"
"asia","chin005.rwl","rwl"
"asia","chin006.rwl","rwl"
"asia","chin007.rwl","rwl"
"asia","chin008.rwl","rwl"
"asia","chin009.rwl","rwl"
"asia","chin010.rwl","rwl"
"asia","chin011.rwl","rwl"
"asia","chin012.rwl","rwl"
"asia","chin013.rwl","rwl"
"asia","chin014.rwl","rwl"
"asia","chin015.rwl","rwl"
"asia","chin016.rwl","rwl"
"asia","chin017.rwl","rwl"
"asia","chin018.rwl","rwl"
"asia","chin019.rwl","rwl"
"asia","chin020.rwl","rwl"
"asia","chin021.rwl","rwl"
"asia","chin022.rwl","rwl"
"asia","chin023.rwl","rwl"
"asia","chin024.rwl","rwl"
"asia","chin025.rwl","rwl"
"asia","chin026.rwl","rwl"
"asia","chin027.rwl","rwl"
"asia","chin028.rwl","rwl"
"asia","chin029.rwl","rwl"
"asia","chin030.rwl","rwl"
"asia","chin031.rwl","rwl"
"asia","chin032.rwl","rwl"
"asia","chin033.rwl","rwl"
"asia","chin034.rwl","rwl"
"asia","chin035.rwl","rwl"
"asia","chin036.rwl","rwl"
"asia","chin037.rwl","rwl"
"asia","chin038.rwl","rwl"
"asia","chin039.rwl","rwl"
"asia","chin040.rwl","rwl"
"asia","chin041.rwl","rwl"
"asia","chin042.rwl","rwl"
"asia","chin043.rwl","rwl"
"asia","chin044.rwl","rwl"
"asia","chin045.rwl","rwl"
"asia","chin046.rwl","rwl"
"asia","chin047.rwl","rwl"
"asia","chin048.rwl","rwl"
"asia","chin049.rwl","rwl"
"asia","chin050.rwl","rwl"
"asia","chin051.rwl","rwl"
"asia","chin052.rwl","rwl"
"asia","chin053.rwl","rwl"
"asia","chin054.rwl","rwl"
"asia","chin055.rwl","rwl"
"asia","chin056.rwl","rwl"
"asia","chin057.rwl","rwl"
"asia","chin058.rwl","rwl"
"asia","chin059.rwl","rwl"
"asia","chin060.rwl","rwl"
"asia","chin061.rwl","rwl"
"asia","chin062.rwl","rwl"
"asia","chin063.rwl","rwl"
"asia","chin064.rwl","rwl"
"asia","chin065.rwl","rwl"
"asia","chin066.rwl","rwl"
"asia","chin067.rwl","try-error"
"asia","chin068.rwl","rwl"
"asia","chin069.rwl","try-error"
"asia","chin070.rwl","rwl"
"asia","chin071.rwl","rwl"
"asia","chin072.rwl","rwl"
"asia","chin073.rwl","rwl"
"asia","chin074.rwl","rwl"
"asia","chin075.rwl","rwl"
"asia","chin076.rwl","rwl"
"asia","chin077.rwl","rwl"
"asia","chin078.rwl","rwl"
"asia","chin079.rwl","rwl"
"asia","chin080.rwl","rwl"
"asia","chin081.rwl","rwl"
"asia","chin082.rwl","rwl"
"asia","chin083.rwl","rwl"
"asia","chin084.rwl","rwl"
"asia","chin084e.rwl","rwl"
"asia","chin084l.rwl","rwl"
"asia","chin085.rwl","rwl"
"asia","chin085e.rwl","rwl"
"asia","chin085l.rwl","rwl"
"asia","chn086.rwl","rwl"
"asia","chn087.rwl","rwl"
"asia","chn088.rwl","rwl"
"asia","chn089.rwl","rwl"
"asia","chn090.rwl","rwl"
"asia","chn091.rwl","rwl"
"asia","chn092x.rwl","rwl"
"asia","chn093.rwl","try-error"
"asia","chn094.rwl","try-error"
"asia","geor002.rwl","rwl"
"asia","geor003.rwl","rwl"
"asia","geor004.rwl","rwl"
"asia","geor005.rwl","rwl"
"asia","geor006.rwl","rwl"
"asia","geor007.rwl","rwl"
"asia","geor008.rwl","rwl"
"asia","geor009.rwl","rwl"
"asia","geor010.rwl","rwl"
"asia","ind026.rwl","rwl"
"asia","ind027.rwl","rwl"
"asia","indi001.rwl","rwl"
"asia","indi001e.rwl","rwl"
"asia","indi001l.rwl","rwl"
"asia","indi001n.rwl","rwl"
"asia","indi001x.rwl","rwl"
"asia","indi002.rwl","rwl"
"asia","indi002e.rwl","rwl"
"asia","indi002l.rwl","rwl"
"asia","indi002n.rwl","rwl"
"asia","indi002x.rwl","rwl"
"asia","indi003.rwl","rwl"
"asia","indi003e.rwl","rwl"
"asia","indi003l.rwl","rwl"
"asia","indi003n.rwl","rwl"
"asia","indi003x.rwl","rwl"
"asia","indi004.rwl","rwl"
"asia","indi004e.rwl","rwl"
"asia","indi004l.rwl","rwl"
"asia","indi004n.rwl","rwl"
"asia","indi004x.rwl","rwl"
"asia","indi005.rwl","rwl"
"asia","indi005e.rwl","rwl"
"asia","indi005l.rwl","rwl"
"asia","indi005n.rwl","rwl"
"asia","indi005x.rwl","rwl"
"asia","indi006.rwl","rwl"
"asia","indi006e.rwl","rwl"
"asia","indi006l.rwl","rwl"
"asia","indi006n.rwl","rwl"
"asia","indi006x.rwl","rwl"
"asia","indi007.rwl","rwl"
"asia","indi007e.rwl","rwl"
"asia","indi007l.rwl","rwl"
"asia","indi007n.rwl","rwl"
"asia","indi007x.rwl","rwl"
"asia","indi008.rwl","rwl"
"asia","indi009.rwl","rwl"
"asia","indi010.rwl","rwl"
"asia","indi011.rwl","rwl"
"asia","indi012.rwl","rwl"
"asia","indi013.rwl","rwl"
"asia","indi014.rwl","rwl"
"asia","indi015.rwl","rwl"
"asia","indi016.rwl","rwl"
"asia","indi017.rwl","rwl"
"asia","indi018.rwl","rwl"
"asia","indi019.rwl","rwl"
"asia","indi020.rwl","rwl"
"asia","indi021.rwl","rwl"
"asia","indi024.rwl","rwl"
"asia","indi025.rwl","rwl"
"asia","indo001.rwl","rwl"
"asia","indo002.rwl","rwl"
"asia","indo003.rwl","rwl"
"asia","indo004.rwl","rwl"
"asia","indo005.rwl","rwl"
"asia","indo006.rwl","rwl"
"asia","indo007.rwl","rwl"
"asia","indo008.rwl","rwl"
"asia","japa008.rwl","rwl"
"asia","japa008x.rwl","rwl"
"asia","japa010.rwl","rwl"
"asia","japa011.rwl","rwl"
"asia","japa012.rwl","rwl"
"asia","japa012x.rwl","rwl"
"asia","japa013.rwl","rwl"
"asia","japa013x.rwl","rwl"
"asia","japa014.rwl","rwl"
"asia","japa014x.rwl","rwl"
"asia","japa015.rwl","rwl"
"asia","japa015x.rwl","rwl"
"asia","japa016.rwl","rwl"
